0,44.4444,65.8333,0
1,48.3333,71.1111,2
2,51.9444,75.8333,4
3,54.7222,79.7222,6
4,56.9444,83.3333,8
5,58.8889,86.6667,10
6,60.2778,89.1667,12
7,61.1111,91.3889,14
8,61.3889,93.3334,16
9,60.8333,94.4445,18
10,59.4444,94.7222,20
11,57.7778,94.1667,22
12,55.5556,93.0556,24
13,52.5,91.6667,26
14,49.1667,90,28
15,45.5556,87.5,30
16,41.6667,84.1667,32
17,36.9444,80.2778,34
18,31.9444,75.8334,36
19,26.3889,70.5556,38
20,20.5556,64.4445,40
21,14.4444,57.5,42
22,7.5,50.2778,44
23,0,42.5,46
